Linux 6.5.0-44-generic (npc2408016)     06/13/2025      _x86_64_        (22 CPU)

08:23:10 AM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
08:23:11 AM  1000      8187    1.00    3.00    0.00    0.00    4.00    10  talker
08:23:12 AM  1000      8187    0.00    4.00    0.00    0.00    4.00     8  talker
08:23:13 AM  1000      8187    0.00    4.00    0.00    0.00    4.00     8  talker
08:23:14 AM  1000      8187    0.00    4.00    0.00    0.00    4.00     0  talker
08:23:15 AM  1000      8187    4.00    1.00    0.00    0.00    5.00     1  talker
08:23:16 AM  1000      8187    0.00    3.00    0.00    0.00    3.00     0  talker
08:23:17 AM  1000      8187    2.00    3.00    0.00    0.00    5.00     0  talker
08:23:18 AM  1000      8187    1.00    4.00    0.00    0.00    5.00    17  talker
08:23:19 AM  1000      8187    3.00    1.00    0.00    0.00    4.00     8  talker
08:23:20 AM  1000      8187    1.00    2.00    0.00    0.00    3.00     8  talker
08:23:21 AM  1000      8187    1.00    4.00    0.00    0.00    5.00     3  talker
08:23:22 AM  1000      8187    1.00    3.00    0.00    0.00    4.00     0  talker
08:23:23 AM  1000      8187    0.00    4.00    0.00    0.00    4.00     0  talker
08:23:24 AM  1000      8187    0.00    5.00    0.00    0.00    5.00     6  talker
08:23:25 AM  1000      8187    2.00    2.00    0.00    0.00    4.00     6  talker
08:23:26 AM  1000      8187    3.00    1.00    0.00    0.00    4.00    10  talker
08:23:27 AM  1000      8187    2.00    2.00    0.00    0.00    4.00     0  talker
08:23:28 AM  1000      8187    4.00    0.00    0.00    0.00    4.00     3  talker
08:23:29 AM  1000      8187    3.00    1.00    0.00    0.00    4.00     1  talker
08:23:30 AM  1000      8187    2.00    3.00    0.00    0.00    5.00     6  talker
08:23:31 AM  1000      8187    2.00    2.00    0.00    0.00    4.00     3  talker
08:23:32 AM  1000      8187    1.00    3.00    0.00    0.00    4.00     3  talker
08:23:33 AM  1000      8187    1.00    3.00    0.00    0.00    4.00     3  talker
08:23:34 AM  1000      8187    2.00    3.00    0.00    0.00    5.00     3  talker
08:23:35 AM  1000      8187    1.00    3.00    0.00    0.00    4.00    10  talker
08:23:36 AM  1000      8187    2.00    1.00    0.00    0.00    3.00    10  talker
08:23:37 AM  1000      8187    2.00    4.00    0.00    0.00    6.00     3  talker
08:23:38 AM  1000      8187    0.00    4.00    0.00    0.00    4.00     8  talker
08:23:39 AM  1000      8187    3.00    2.00    0.00    0.00    5.00    10  talker
08:23:40 AM  1000      8187    2.00    2.00    0.00    0.00    4.00     2  talker
08:23:41 AM  1000      8187    5.00    0.00    0.00    0.00    5.00     2  talker
08:23:42 AM  1000      8187    3.00    1.00    0.00    0.00    4.00     2  talker
08:23:43 AM  1000      8187    0.00    4.00    0.00    0.00    4.00     2  talker
08:23:44 AM  1000      8187    3.00    2.00    0.00    0.00    5.00     2  talker
08:23:45 AM  1000      8187    1.00    3.00    0.00    0.00    4.00     2  talker
08:23:46 AM  1000      8187    0.00    5.00    0.00    0.00    5.00     2  talker
08:23:47 AM  1000      8187    2.00    2.00    0.00    0.00    4.00     2  talker
08:23:48 AM  1000      8187    1.00    3.00    0.00    0.00    4.00     2  talker
08:23:49 AM  1000      8187    2.00    3.00    0.00    0.00    5.00     2  talker
08:23:50 AM  1000      8187    1.00    3.00    0.00    0.00    4.00     2  talker
08:23:51 AM  1000      8187    4.00    0.00    0.00    0.00    4.00     2  talker
08:23:52 AM  1000      8187    2.00    2.00    0.00    0.00    4.00     2  talker
08:23:53 AM  1000      8187    2.00    2.00    0.00    0.00    4.00     2  talker
08:23:54 AM  1000      8187    1.00    3.00    0.00    0.00    4.00     2  talker
08:23:55 AM  1000      8187    0.00    4.00    0.00    0.00    4.00     2  talker
08:23:56 AM  1000      8187    0.00    4.00    0.00    0.00    4.00     2  talker
08:23:57 AM  1000      8187    0.00    5.00    0.00    0.00    5.00     2  talker
08:23:58 AM  1000      8187    0.00    4.00    0.00    0.00    4.00     2  talker
08:23:59 AM  1000      8187    1.00    4.00    0.00    0.00    5.00     2  talker
08:24:00 AM  1000      8187    4.00    0.00    0.00    0.00    4.00     2  talker
08:24:01 AM  1000      8187    2.00    1.00    0.00    0.00    3.00     2  talker
08:24:02 AM  1000      8187    0.00    5.00    0.00    0.00    5.00     2  talker
08:24:03 AM  1000      8187    2.00    2.00    0.00    0.00    4.00     2  talker
08:24:04 AM  1000      8187    5.00    0.00    0.00    0.00    5.00     2  talker
08:24:05 AM  1000      8187    0.00    4.00    0.00    0.00    4.00     2  talker
08:24:06 AM  1000      8187    0.00    4.00    0.00    0.00    4.00     2  talker
08:24:07 AM  1000      8187    0.00    4.00    0.00    0.00    4.00     2  talker
08:24:08 AM  1000      8187    0.00    5.00    0.00    0.00    5.00     2  talker
08:24:09 AM  1000      8187    0.00    4.00    0.00    0.00    4.00     2  talker
08:24:10 AM  1000      8187    0.00    4.00    0.00    0.00    4.00     2  talker
Average:     1000      8187    1.45    2.80    0.00    0.00    4.25     -  talker
