Linux 6.5.0-44-generic (npc2408016) 	06/17/2025 	_x86_64_	(22 CPU)

10:28:39 AM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
10:28:40 AM  1000     19597    4.95    0.99    0.00    0.00    5.94     1  talker
10:28:40 AM  1000     19599    0.00    6.93    0.00    0.00    6.93    14  talker
10:28:40 AM  1000     19601    3.96    2.97    0.00    0.00    6.93    16  talker
10:28:40 AM  1000     19603    1.98    2.97    0.00    0.00    4.95     0  talker
10:28:40 AM  1000     19605    3.96    1.98    0.00    0.00    5.94     8  talker
10:28:40 AM  1000     19607    0.00    6.93    0.00    0.00    6.93    11  talker
10:28:40 AM  1000     19609    2.97    2.97    0.00    0.99    5.94     8  talker
10:28:40 AM  1000     19611    2.97    2.97    0.00    0.00    5.94     6  talker
10:28:40 AM  1000     19613    1.98    2.97    0.00    0.00    4.95     6  talker

10:28:40 AM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
10:28:41 AM  1000     19597    6.00    0.00    0.00    0.00    6.00     5  talker
10:28:41 AM  1000     19599    1.00    6.00    0.00    0.00    7.00    14  talker
10:28:41 AM  1000     19601    1.00    4.00    0.00    0.00    5.00     1  talker
10:28:41 AM  1000     19603    4.00    1.00    0.00    0.00    5.00     1  talker
10:28:41 AM  1000     19605    4.00    2.00    0.00    0.00    6.00     8  talker
10:28:41 AM  1000     19607    2.00    5.00    0.00    0.00    7.00    17  talker
10:28:41 AM  1000     19609    4.00    3.00    0.00    0.00    7.00    10  talker
10:28:41 AM  1000     19611    0.00    6.00    0.00    0.00    6.00    13  talker
10:28:41 AM  1000     19613    2.00    5.00    0.00    0.00    7.00     4  talker

10:28:41 AM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
10:28:42 AM  1000     19597    5.00    0.00    0.00    0.00    5.00    10  talker
10:28:42 AM  1000     19599    3.00    3.00    0.00    0.00    6.00     2  talker
10:28:42 AM  1000     19601    0.00    7.00    0.00    0.00    7.00     8  talker
10:28:42 AM  1000     19603    1.00    5.00    0.00    0.00    6.00     6  talker
10:28:42 AM  1000     19605    4.00    2.00    0.00    0.00    6.00     2  talker
10:28:42 AM  1000     19607    0.00    7.00    0.00    0.00    7.00    14  talker
10:28:42 AM  1000     19609    4.00    2.00    0.00    0.00    6.00    15  talker
10:28:42 AM  1000     19611    0.00    5.00    0.00    0.00    5.00     7  talker
10:28:42 AM  1000     19613    5.00    1.00    0.00    0.00    6.00     4  talker

10:28:42 AM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
10:28:43 AM  1000     19597    5.00    1.00    0.00    0.00    6.00     4  talker
10:28:43 AM  1000     19599    4.00    4.00    0.00    0.00    8.00     5  talker
10:28:43 AM  1000     19601    3.00    3.00    0.00    0.00    6.00    17  talker
10:28:43 AM  1000     19603    3.00    2.00    0.00    0.00    5.00    19  talker
10:28:43 AM  1000     19605    4.00    2.00    0.00    0.00    6.00     2  talker
10:28:43 AM  1000     19607    2.00    5.00    0.00    0.00    7.00     7  talker
10:28:43 AM  1000     19609    3.00    3.00    0.00    0.00    6.00     2  talker
10:28:43 AM  1000     19611    3.00    3.00    0.00    0.00    6.00    11  talker
10:28:43 AM  1000     19613    1.00    4.00    0.00    0.00    5.00     9  talker

10:28:43 AM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
10:28:44 AM  1000     19597    5.00    1.00    0.00    0.00    6.00    15  talker
10:28:44 AM  1000     19599    3.00    3.00    0.00    0.00    6.00    11  talker
10:28:44 AM  1000     19601    6.00    0.00    0.00    0.00    6.00     1  talker
10:28:44 AM  1000     19603    4.00    1.00    0.00    0.00    5.00    16  talker
10:28:44 AM  1000     19605    3.00    2.00    0.00    0.00    5.00     2  talker
10:28:44 AM  1000     19607    2.00    5.00    0.00    0.00    7.00    17  talker
10:28:44 AM  1000     19609    4.00    2.00    0.00    0.00    6.00    14  talker
10:28:44 AM  1000     19611    0.00    6.00    0.00    0.00    6.00     7  talker
10:28:44 AM  1000     19613    6.00    0.00    0.00    0.00    6.00     1  talker

10:28:44 AM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
10:28:45 AM  1000     19597    3.00    3.00    0.00    0.00    6.00    14  talker
