Linux 6.5.0-44-generic (npc2408016) 	06/24/2025 	_x86_64_	(22 CPU)

09:36:57 AM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
09:36:58 AM  1000     20089    5.00    1.00    0.00    0.00    6.00     6  talker
09:36:59 AM  1000     20089    4.00    2.00    0.00    0.00    6.00     2  talker
09:37:00 AM  1000     20089    2.00    4.00    0.00    0.00    6.00     3  talker
09:37:01 AM  1000     20089    3.00    2.00    0.00    0.00    5.00     3  talker
09:37:02 AM  1000     20089    4.00    1.00    0.00    0.00    5.00     6  talker
09:37:03 AM  1000     20089    4.00    2.00    0.00    0.00    6.00    16  talker
09:37:04 AM  1000     20089    3.00    2.00    0.00    0.00    5.00    12  talker
09:37:05 AM  1000     20089    2.00    2.00    0.00    0.00    4.00    12  talker
09:37:06 AM  1000     20089    3.00    2.00    0.00    0.00    5.00     3  talker
09:37:07 AM  1000     20089    4.00    2.00    0.00    0.00    6.00     5  talker
09:37:08 AM  1000     20089    3.00    2.00    0.00    0.00    5.00     6  talker
09:37:09 AM  1000     20089    3.00    2.00    0.00    0.00    5.00     6  talker
09:37:10 AM  1000     20089    3.00    3.00    0.00    0.00    6.00     0  talker
09:37:11 AM  1000     20089    5.00    1.00    0.00    0.00    6.00    15  talker
09:37:12 AM  1000     20089    2.00    2.00    0.00    0.00    4.00    13  talker
09:37:13 AM  1000     20089    4.00    2.00    0.00    0.00    6.00    11  talker
09:37:14 AM  1000     20089    3.00    2.00    0.00    0.00    5.00    11  talker
09:37:15 AM  1000     20089    5.00    1.00    0.00    0.00    6.00    11  talker
09:37:16 AM  1000     20089    4.00    1.00    0.00    0.00    5.00    11  talker
09:37:17 AM  1000     20089    4.00    2.00    0.00    0.00    6.00    11  talker
09:37:18 AM  1000     20089    4.00    1.00    0.00    0.00    5.00    11  talker
09:37:19 AM  1000     20089    4.00    3.00    0.00    0.00    7.00    12  talker
09:37:20 AM  1000     20089    2.00    2.00    0.00    0.00    4.00     1  talker
09:37:21 AM  1000     20089    4.00    2.00    0.00    0.00    6.00     6  talker
09:37:22 AM  1000     20089    2.00    3.00    0.00    0.00    5.00    10  talker
09:37:23 AM  1000     20089    4.00    2.00    0.00    0.00    6.00    14  talker
09:37:24 AM  1000     20089    3.00    3.00    0.00    0.00    6.00     6  talker
09:37:25 AM  1000     20089    3.00    2.00    0.00    0.00    5.00    10  talker
09:37:26 AM  1000     20089    1.00    3.00    0.00    0.00    4.00     8  talker
09:37:27 AM  1000     20089    4.00    3.00    0.00    0.00    7.00    13  talker
09:37:28 AM  1000     20089    3.00    1.00    0.00    0.00    4.00     7  talker
09:37:29 AM  1000     20089    4.00    1.00    0.00    0.00    5.00    14  talker
09:37:30 AM  1000     20089    4.00    2.00    0.00    0.00    6.00     0  talker
09:37:31 AM  1000     20089    4.00    2.00    0.00    0.00    6.00     1  talker
09:37:32 AM  1000     20089    2.00    3.00    0.00    0.00    5.00     1  talker
09:37:33 AM  1000     20089    3.00    2.00    0.00    0.00    5.00     6  talker
09:37:34 AM  1000     20089    3.00    3.00    0.00    0.00    6.00    10  talker
09:37:35 AM  1000     20089    5.00    0.00    0.00    0.00    5.00     3  talker
09:37:36 AM  1000     20089    4.00    1.00    0.00    0.00    5.00     9  talker
09:37:37 AM  1000     20089    4.00    1.00    0.00    0.00    5.00    14  talker
09:37:38 AM  1000     20089    3.00    2.00    0.00    0.00    5.00     3  talker
09:37:39 AM  1000     20089    4.00    2.00    0.00    0.00    6.00    13  talker
09:37:40 AM  1000     20089    4.00    0.00    0.00    0.00    4.00     1  talker
09:37:41 AM  1000     20089    5.00    1.00    0.00    0.00    6.00    18  talker
09:37:42 AM  1000     20089    2.00    2.00    0.00    0.00    4.00     0  talker
09:37:43 AM  1000     20089    3.00    3.00    0.00    0.00    6.00     0  talker
09:37:44 AM  1000     20089    4.00    1.00    0.00    0.00    5.00    12  talker
09:37:45 AM  1000     20089    3.00    2.00    0.00    0.00    5.00     6  talker
09:37:46 AM  1000     20089    4.00    1.00    0.00    0.00    5.00    10  talker
09:37:47 AM  1000     20089    4.00    1.00    0.00    0.00    5.00     1  talker
09:37:48 AM  1000     20089    4.00    2.00    0.00    0.00    6.00     5  talker
09:37:49 AM  1000     20089    5.00    1.00    0.00    0.00    6.00     8  talker
09:37:50 AM  1000     20089    4.00    1.00    0.00    0.00    5.00    14  talker
09:37:51 AM  1000     20089    5.00    2.00    0.00    0.00    7.00     3  talker
09:37:52 AM  1000     20089    3.00    1.00    0.00    0.00    4.00    18  talker
09:37:53 AM  1000     20089    5.00    3.00    0.00    0.00    8.00    17  talker
09:37:54 AM  1000     20089    4.00    1.00    0.00    0.00    5.00     4  talker
09:37:55 AM  1000     20089    5.00    3.00    0.00    0.00    8.00     6  talker
09:37:56 AM  1000     20089    3.00    1.00    0.00    0.00    4.00     6  talker
09:37:57 AM  1000     20089    5.00    1.00    0.00    0.00    6.00    19  talker
Average:     1000     20089    3.60    1.82    0.00    0.00    5.42     -  talker
